prepare, o
vaqueiro, morreu
engorda, e
cujo, vaqueiro
gente, marca, diferente
tem, rei
pela, vida
como, num
nas, patas
seguia, como
firme, brao
coisa, de
as, vises
junto, comigo
at, que
boiadeiro, muito, era, j
aprendi, a
vida, segurei
venho, l
querer, tivesse, mais
patas, do
porm, por
longe, que
brao, forte
mim, nem
por, um, necessidade, mim, ningum, qualquer
se, clareando, voc
era, um
noutro, lugar
lara, lara
sem, chorar
mas, um, o, com
a, dizer, morte, gente
seu, corao
estava, fora
e, posso, a, eu, muita, nos, gente, mata, j
lhe, agradar
j, fui, que
l, do
o, seu, destino, mundo, que
pude, seguir
coisas, que
la, lai
fui, boi, sonhando, rei
dia, me, acordei, montei
vises, se
agora, sou
pras, coisas
com, gente
quisesse, o
de, quem, uma, dono, gado, lado, seu, um
num, sonho
fora, do
do, serto, lugar, dono, meu
mais, longe
jair, rodrigues
lai, lara
nem, por
um, dia, motivo, rei, reino
me, montei, desculpar
sou, cavaleiro
pegar, minha
vivo, pra
lao, firme
pra, consertar, enganar
ver, a
reino, que
dono, de
tange, ferra
cantar, noutro
eu, vou, venho, vivo
dizer, no
na, boiada
morte, sem, o
boi, mas
valente, lugartenente
que, eu, qualquer, boiadeiro, fui, um, junto, quisesse, pudesse, no
no, lhe, por, pude, concordar, posso, canto, tem
foi, rodando
motivo, meu
deixar, voc
uma, boiada
muito, tempo, gado
ento, no
voc, no, de
comigo, houvesse
ferra, engorda
nos, sonhos
gado, e, a
muita, gente
destino, tudo
meu, cavalo
vou, contar, pegar, deixar, cantar
ou, de
mundo, foi
boiada, j
qualquer, querer, coisa
canto, pra
posso, no, me
sonhos, que
quem, comigo
minha, viola
porque, gado
