thought, i
called, up
year, any
bring, me, your
stood, in
your, alibis
her, mind
far, away
sight, grew
welcome, to
dance, in, to
you, can, up, like
they, dance, livin, gathered, stab, just
still, those
mirrors, on
in, my, the
night, man
voices, down, are
havent, had
them, say
is, tiffanytwisted
then, she
it, here, up, with
heaven, or
heavy, and
mission, bell
at, the
stop, for
mercedes, benz
programmed, to
wind, in
pink, champagne
be, heaven, hell
ahead, in
masters, chambers
thinking, to
our, own
summer, sweat
out, any
lot, of
remember, i
how, they
are, calling, all, programmed
dark, desert
hotel, california
place, such, i
so, i
livin, it
a, dark, shimmering, candle, lovely, lot, nice
mind, is
middle, of
could, be
cool, wind
spirit, here
i, saw, had, heard, was, thought, called, remember
gathered, for
kill, the
nice, surprise
the, air, distance, night, doorway, mission, way, corridor, hotel, mercedes, courtyard, captain, middle, ceiling, pink, masters, feast, beast, door, passage, place
such, a
stab, it
calls, friends
showed, me
calling, from
to, stop, myself, the, remember, forget, hear, find, receive
desert, highway
sweet, summer
thing, i
through, the
but, they, you
passage, back
own, device
had, to, that
cant, kill
smell, of
down, the
got, the, a
that, she, spirit
wake, you
lit, up
find, it, the
me, the, my
champagne, on
from, far
up, through, ahead, a, the, in, at
those, voices
all, just
surprise, what
last, thing
this, could
plenty, of
please, bring
check, out
my, hair, head, sight, wine
she, stood, lit, showed, got, calls, said
never, leave
warm, smell
shimmering, light
were, voices
some, dance
steely, knives
rising, up
for, the
their, steely
prisoners, here
we, havent, are
head, grew
running, for
can, find, check, never
and, my, i, she, still, in
of, colitas, room, year, pretty, the, our
said, we, the
just, to, prisoners, cant
heard, the, them
hear, them
on, a, the, ice
lovely, place, face
pretty, pretty, boys
or, this
relax, said
saw, a
was, thinking, before
grew, heavy, dim
any, time
room, at
with, their
what, a
there, she, were
time, of, you
he, said
